,lens1,lens2,lens1_n_cubes,lens2_n_cubes,lens1_perc_overlap,lens2_perc_overlap,eps,n_vertices,n_connected_components
169,neighbour_1,IL-6,1,1,0.7,0.3,1.9000000000000004,1,1
170,neighbour_1,IL-6,1,1,0.7,0.5,0.1,6,6
171,neighbour_1,IL-6,1,1,0.7,0.5,0.30000000000000004,3,3
172,neighbour_1,IL-6,1,1,0.7,0.5,0.5000000000000001,1,1
173,neighbour_1,IL-6,1,1,0.7,0.5,0.7000000000000001,1,1
174,neighbour_1,IL-6,1,1,0.7,0.5,0.9000000000000001,1,1
175,neighbour_1,IL-6,1,1,0.7,0.5,1.1000000000000003,1,1
176,neighbour_1,IL-6,1,1,0.7,0.5,1.3000000000000003,1,1
177,neighbour_1,IL-6,1,1,0.7,0.5,1.5000000000000004,1,1
178,neighbour_1,IL-6,1,1,0.7,0.5,1.7000000000000004,1,1
179,neighbour_1,IL-6,1,1,0.7,0.5,1.9000000000000004,1,1
180,neighbour_1,IL-6,1,1,0.7,0.7,0.1,6,6
181,neighbour_1,IL-6,1,1,0.7,0.7,0.30000000000000004,3,3
182,neighbour_1,IL-6,1,1,0.7,0.7,0.5000000000000001,1,1
183,neighbour_1,IL-6,1,1,0.7,0.7,0.7000000000000001,1,1
184,neighbour_1,IL-6,1,1,0.7,0.7,0.9000000000000001,1,1
185,neighbour_1,IL-6,1,1,0.7,0.7,1.1000000000000003,1,1
186,neighbour_1,IL-6,1,1,0.7,0.7,1.3000000000000003,1,1
187,neighbour_1,IL-6,1,1,0.7,0.7,1.5000000000000004,1,1
188,neighbour_1,IL-6,1,1,0.7,0.7,1.7000000000000004,1,1
189,neighbour_1,IL-6,1,1,0.7,0.7,1.9000000000000004,1,1
190,neighbour_1,IL-6,1,1,0.7,0.9,0.1,6,6
191,neighbour_1,IL-6,1,1,0.7,0.9,0.30000000000000004,3,3
192,neighbour_1,IL-6,1,1,0.7,0.9,0.5000000000000001,1,1
193,neighbour_1,IL-6,1,1,0.7,0.9,0.7000000000000001,1,1
194,neighbour_1,IL-6,1,1,0.7,0.9,0.9000000000000001,1,1
195,neighbour_1,IL-6,1,1,0.7,0.9,1.1000000000000003,1,1
196,neighbour_1,IL-6,1,1,0.7,0.9,1.3000000000000003,1,1
197,neighbour_1,IL-6,1,1,0.7,0.9,1.5000000000000004,1,1
198,neighbour_1,IL-6,1,1,0.7,0.9,1.7000000000000004,1,1
199,neighbour_1,IL-6,1,1,0.7,0.9,1.9000000000000004,1,1
200,neighbour_1,IL-6,1,1,0.9,0.1,0.1,6,6
201,neighbour_1,IL-6,1,1,0.9,0.1,0.30000000000000004,3,3
